gpu,n_gpus,batch_size_per_gpu,batch_size_global,learning_rate,train_size,epoch_train_time,sec_per_img,msec_per_img,val_accuracy
A100,1,32,32,0.005,9601,238.523959,0.024843658,24.84365785,40.64159983
A100,1,32,32,0.005,9601,231.837278,0.024147201,24.14720112,40.72492449
A100,1,32,32,0.005,9601,236.556653,0.024638751,24.63875148,42.77679408
A100,1,32,32,0.005,9601,236.836077,0.024667855,24.66785512,44.4745339
A100,1,32,32,0.005,9601,230.551361,0.024013265,24.01326539,42.91219665
A100,1,32,32,0.005,9601,286.395075,0.029829713,29.82971305,43.66211853
A100,1,64,64,0.01,9601,234.814372,0.024457283,24.45728278,36.92323716
A100,1,64,64,0.01,9601,225.516874,0.023488894,23.48889428,40.48536611
A100,1,64,64,0.01,9601,247.146353,0.02574173,25.74173034,42.12061244
A100,1,64,64,0.01,9601,211.690561,0.022048803,22.04880335,42.51640454
A100,1,64,64,0.01,9601,185.612677,0.01933264,19.33264004,42.41224872
A100,1,64,64,0.01,9601,207.400992,0.02160202,21.60201979,42.28726174
A100,1,128,128,0.02,9601,259.492073,0.027027609,27.02760889,38.56889907
A100,1,128,128,0.02,9601,207.053587,0.021565836,21.56583554,37.79814603
A100,1,128,128,0.02,9601,236.98173,0.024683026,24.68302573,37.92313301
A100,1,128,128,0.02,9601,232.784279,0.024245837,24.24583679,37.2981981
A100,1,128,128,0.02,9601,235.3253,0.024510499,24.51049891,39.65211957
A100,1,128,128,0.02,9601,264.128644,0.027510535,27.51053474,38.07936673
A100,2,16,32,0.005,9601,173.30957,0.0180512,18.05119988,20.64368295
A100,2,16,32,0.005,9601,155.986659,0.016246918,16.24691793,21.45609832
A100,2,16,32,0.005,9601,159.5508,0.016618144,16.61814394,22.22685137
A100,2,16,32,0.005,9601,152.313485,0.015864335,15.86433549,23.00802
A100,2,16,32,0.005,9601,149.479767,0.015569187,15.56918727,22.44557859
A100,2,16,32,0.005,9601,173.900929,0.018112793,18.11279335,22.2685137
A100,2,32,64,0.01,9601,169.215128,0.01762474,17.62473992,20.76866993
A100,2,32,64,0.01,9601,162.305426,0.016905054,16.90505427,20.22705968
A100,2,32,64,0.01,9601,177.077584,0.01844366,18.44366045,19.60212478
A100,2,32,64,0.01,9601,173.866977,0.018109257,18.10925706,21.27903343
A100,2,32,64,0.01,9601,174.93617,0.01822062,18.22061973,21.43526716
A100,2,32,64,0.01,9601,177.176981,0.018454013,18.45401323,21.64357879
A100,2,64,128,0.02,9601,169.255837,0.01762898,17.62898,17.55025518
A100,2,64,128,0.02,9601,162.322109,0.016906792,16.9067919,13.59233413
A100,2,64,128,0.02,9601,177.066233,0.018442478,18.44247818,21.19570878
A100,2,64,128,0.02,9601,173.865114,0.018109063,18.10906301,20.37287783
A100,2,64,128,0.02,9601,183.353383,0.019097321,19.09732142,20.73742319
A100,2,64,128,0.02,9601,177.195431,0.018455935,18.4559349,20.54994271
